Название,цена,конечная_цена,скидка,Мультиплеер,Одиночный,Кооператив,ММО,Русский,Англикий,количество_языков,недавние_оценки+,все_оценки,позитивная_оценка,негативная_оценка,жанр,дата_релиза,Издатель,ОС,Процессор,Оперативная память,Видеокарта,Место на диске 
Half Minute Hero: The Second Coming,15.0,15.0,0.0,1,1.0,0.0,0.0,1.0,1.0,3.0,362.0,459.0,426.0,33.0,Экшены,2014-04-04,Marvelous,XP SP2 32bit,Intel Core 2 Duo 3.0GHz or equivalent,2 GB ОЗУ,Intel HD Graphics 2000 or equivalent,800 MB
Crossout - Wild Hunt Pack,1199.0,1199.0,0.0,1,0.0,1.0,1.0,1.0,1.0,7.0,,3.0,2.0,1.0,Экшены,2018-03-15,,Windows® 7 / Windows® 8 / Windows® 10 64-bit,"Intel® Core™ i5-3330, AMD™ FX-6300, or better",6 GB ОЗУ,NVIDIA® GeForce® GTX 750 Ti or AMD™ Radeon™ R7 260X or better,5 GB
Pure Farming 2018,355.0,355.0,0.0,0,1.0,0.0,0.0,1.0,1.0,9.0,577.0,947.0,638.0,309.0,Симуляторы,2018-03-13,Techland Publishing,"Windows 10,8,7 (64 bit)","Intel Core I7, 3,0 GHz",8 GB ОЗУ,Geforce GTX 970 4 GB,5 GB
Alien Shooter 2: Reloaded,133.0,133.0,0.0,0,0.0,0.0,0.0,1.0,1.0,2.0,442.0,1082.0,997.0,85.0,Экшены,2009-03-14,Sigma Team Inc.,Windows 2000 / XP / Vista,"с тактовой частотой 1,7 ГГц",512 МБ,nVidia GeForce2 / ATI Radeon 8500 или лучше с 64 МБ видеопамяти,
Games&Girls,53.0,53.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,149.0,214.0,156.0,58.0,Приключенческие игры,2017-04-18,Yume Creations,XP or later,1 Ghz,1 GB ОЗУ,DirectX compatible card,1 GB
Age of Wonders III - Eternal Lords Expansion,419.0,419.0,0.0,1,1.0,1.0,0.0,1.0,1.0,5.0,107.0,123.0,118.0,5.0,Ролевые игры,2015-04-14,Triumph Studios,"Windows Vista, Windows 7, Windows 8, Windows 8.1","Intel Core 2 Quad Q6600 2,4 ГГц или AMD Phenom X4 9900 2,6 ГГц",4 GB ОЗУ,nVidia Geforce 460 с 1 ГБ или AMD Radeon HD 6850 с 1 ГБ видеопамяти,10 GB
The Messenger,435.0,435.0,0.0,0,1.0,0.0,0.0,1.0,1.0,10.0,96.0,1938.0,1848.0,90.0,Экшены,2018-08-30,Devolver Digital,Windows 7 Service Pack 1 or newer (64 bit),Intel core i5-4210 1.7ghz,2 GB ОЗУ,Intel HD Graphics 4400,1200 MB
Minion Masters - All Masters Upgrade,419.0,419.0,0.0,1,0.0,1.0,0.0,1.0,1.0,8.0,,1.0,1.0,0.0,Экшены,2018-12-10,BetaDwarf,"Windows 7, Windows 8, Windows 10","Intel Core i3, 2.4 Ghz or equivalent",4 GB ОЗУ,"Nvidia Geforce GT 240 or equivalent, minimum 512 MB of VRAM",6 GB
Higurashi When They Cry Hou - Ch.1 Onikakushi,149.0,37.0,75.0,0,1.0,0.0,0.0,1.0,1.0,3.0,1013.0,1433.0,1383.0,50.0,Приключенческие игры,2015-05-15,MangaGamer,OSX 10.8,1 Ghz or faster processor,512 MB ОЗУ,,500 MB
Super Saurio Fly: Jurassic Edition,259.0,259.0,0.0,0,1.0,0.0,0.0,1.0,1.0,5.0,,15.0,14.0,1.0,Приключенческие игры,2018-04-12,FraxelGames,Windows 7,Intel i5,8 GB ОЗУ,2GB,3 GB
Cossacks 3,949.0,949.0,0.0,1,1.0,1.0,0.0,1.0,1.0,12.0,26.0,5736.0,4302.0,1434.0,Стратегии,2016-09-20,GSC Game World,"SteamOS, Ubuntu, Mint",Quad Core Processor,3 GB ОЗУ,"OpenGL 3.2+, 512 MB GPU RAM (Intel video-cards are not officially supported and game may not work)",6 GB
Gloria Victis,649.0,649.0,0.0,1,0.0,0.0,1.0,1.0,1.0,8.0,146.0,3891.0,2664.0,1227.0,Экшены,2016-06-09,Black Eye Games,Windows 7 64-bit,Intel Core i5 or AMD Phenom II X4 with at least 3.2 GHz,8 GB ОЗУ,"GeForce GTX 960, Radeon HD 7970 - at least 2GB GPU memory",15 GB
Orcs Must Die! 2,399.0,399.0,0.0,0,0.0,0.0,0.0,1.0,1.0,9.0,29.0,14006.0,13322.0,684.0,Экшены,2012-07-30,Robot Entertainment,,,,,
LEGO® MARVEL's Avengers DLC - Marvel’s Captain America: Civil War Character Pack,59.0,59.0,0.0,0,1.0,0.0,0.0,1.0,1.0,10.0,28.0,29.0,22.0,7.0,Экшены,2016-05-24,TT Games,Windows XP/Vista/7/8/10,"Intel i5, 4 x 2.6 GHz or AMD equivalent",4 GB ОЗУ,"NVIDIA GeForce GTX 480 or ATI Radeon HD 5850 or better, 1Gb RAM",14 GB
Battlerite - Legendary Loot Pack,619.0,619.0,0.0,1,1.0,0.0,0.0,1.0,1.0,11.0,89.0,94.0,90.0,4.0,Экшены,2017-09-25,,Windows 7 or newer,Dual core from Intel or AMD at 2.8 GHz,2 GB ОЗУ,Intel HD 3000,1500 MB
Echo Of Soul Silver Edition,725.0,725.0,0.0,0,0.0,0.0,1.0,1.0,1.0,2.0,,1.0,1.0,0.0,Многопользовательские игры,2018-12-06,"Blue Potion Games Co., Ltd",Windows 7 64-bit,Intel Quad Core / AMD Phenom X4 or better,8 GB ОЗУ,Geforce GTS 250 or higher,13 GB
Retro Racing City,30.0,30.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,,4.0,3.0,1.0,Инди,2019-04-04,Garnudo Games,Windows 7/10,Dual Core,512 MB ОЗУ,Supported,160 MB
Animal Fight Club: Australia Export,99.0,59.0,40.0,1,1.0,0.0,0.0,1.0,1.0,6.0,,,,,Экшены,2019-04-29,Corvostudio di Amadei Marco,Windows 10,Intel i3,1024 MB ОЗУ,Nvidia gtx 750ti,512 MB
Vampire: The Masquerade - Bloodlines,899.0,899.0,0.0,0,1.0,0.0,0.0,1.0,1.0,4.0,81.0,6528.0,6165.0,363.0,Экшены,2004-11-16,Activision,,,,,
RUSH,435.0,435.0,0.0,1,1.0,0.0,0.0,1.0,1.0,2.0,65.0,74.0,65.0,9.0,,2018-07-13,The Binary Mill,Windows 10,Intel i5-4590 equivalent or greater,8 GB ОЗУ,NVIDIA GTX 1060 / 970 or AMD Radeon RX 480 / 290 or greater,4500 MB
Endless Space® 2 - Supremacy,559.0,559.0,0.0,1,1.0,0.0,0.0,1.0,1.0,10.0,173.0,182.0,144.0,38.0,Стратегии,2018-08-02,SEGA,MAC OS X 10.11 or higher,Intel Core i5 2.7Ghz,6 GB ОЗУ,GeForce 775M | Radeon HD 6970 | Intel Iris Pro,8 GB
Gems of War - Exclusive Pet,930.0,930.0,0.0,1,1.0,0.0,0.0,1.0,1.0,8.0,,1.0,0.0,1.0,Экшены,2019-04-22,505 Games,"XP SP2, Vista SP2, Windows 7 or higher","2.33 GHz or faster x86 CPU, or Intel Atom 1.6Hz or faster CPU",1 GB ОЗУ,"Radeon X700 series or better, GeForce 6 series or better (Pixel Shader 2 support required)",700 MB
Starlink: Battle for Atlas - Collection pack 2,1899.0,1899.0,0.0,0,1.0,1.0,0.0,1.0,1.0,17.0,,,,,Экшены,2019-04-30,,Windows 7/8/10 (64 bit only),"Intel Core i5-4590 3.3 GHz, AMD FX-8350 4.0 GHz",8 GB ОЗУ,NVIDIA GeForce GTX 970 or AMD Radeon R9 290X,23 GB
Life is Feudal: MMO. Pagan Starter Pack,1199.0,1199.0,0.0,0,0.0,0.0,1.0,1.0,1.0,11.0,55.0,58.0,33.0,25.0,Экшены,2018-01-12,Bitbox Ltd.,"64-bit - Windows 7 (SP1), Windows 8.1, Windows 10",Intel - Core i7 3.0 GHz,16 GB ОЗУ,"NVIDIA - GeForce® GTX 980, AMD - Radeon™ RX 480",30 GB
Downfall,259.0,259.0,0.0,0,0.0,0.0,0.0,1.0,1.0,7.0,457.0,560.0,522.0,38.0,Приключенческие игры,2016-02-15,Screen 7,"Windows 7, 8, 10 (64-bit OS)","Intel Core i5-750, 2.67 GHz | AMD Phenom II X4 965, 3.4 GHz",8 GB ОЗУ,NVIDIA or AMD ATI video card with 2GB of RAM (NVIDIA GTX 550 Ti 2GB/AMD Radeon HD 7870 2GB),3 GB
Half Minute Hero: Super Mega Neo Climax Ultimate Boy,15.0,15.0,0.0,1,1.0,1.0,0.0,1.0,1.0,7.0,884.0,1316.0,1144.0,172.0,Экшены,2012-09-27,Marvelous,,,,,
Immortal: Unchained,515.0,515.0,0.0,0,1.0,0.0,0.0,1.0,1.0,7.0,11.0,503.0,365.0,138.0,Экшены,2018-09-07,Toadman Interactive,"Windows 7 64-bit, Windows 8/8.1 64-bit, Windows 10 64-bit*",Intel Core i7-4790K @ 4.00 GHz or AMD FX-9590 @ 4.7 GHz,8 GB ОЗУ,NVIDIA GeForce GTX 780 or AMD GPU Radeon R9 290,25 GB
X-Plane 11 - Add-on: Aerosoft - Airport Zurich V2,1012.0,1012.0,0.0,0,1.0,0.0,0.0,1.0,1.0,3.0,10.0,10.0,8.0,2.0,Симуляторы,2017-04-19,Aerosoft GmbH,7/8/8.1/10,MultiCore Processor with 3 GHz or faster,8 GB ОЗУ,3D graphics card with at least 2GB (4GB or higher is recommended),3 GB
Season of 12 Colors,79.0,59.0,25.0,0,1.0,0.0,0.0,1.0,1.0,4.0,20.0,1449.0,1363.0,86.0,Приключенческие игры,2016-03-14,NVLMaker,WIN7 SP1/WIN8/WIN10,1000MHz,512 MB ОЗУ,OpenGL 2.0,200 MB
TerraTech,465.0,465.0,0.0,0,1.0,0.0,0.0,1.0,1.0,18.0,50.0,5798.0,4774.0,1024.0,Экшены,2018-08-10,Payload Studios,Windows 7 64-bit or newer,Intel Core i5 750 @ 2.67GHz or AMD Phenom II X4 945,6 GB ОЗУ,nVidia GeForce GTX 260 or ATI Radeon HD 5670,2 GB
Galactic Civilizations III - Mega Events DLC,99.0,99.0,0.0,1,1.0,0.0,0.0,1.0,1.0,4.0,26.0,37.0,24.0,13.0,Инди,2015-08-11,Stardock Entertainment,"64-разрядная, Windows 10/8.x/7","С частотой 2,3 ГГц (Intel Core i5 или эквивалентный)",6 GB ОЗУ,"С 1 ГБ памяти, совместимая с DirectX 10.1",15 GB
Creeping Terror,205.0,61.0,70.0,0,1.0,0.0,0.0,1.0,1.0,3.0,20.0,20.0,14.0,6.0,Приключенческие игры,2017-10-31,mebius,Windows 7,Core2 Duo 2.6 GHz,2 GB ОЗУ,Intel HD Graphics Family,512 MB
Music Racer,61.0,61.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,71.0,1234.0,1138.0,96.0,,2018-07-20,AbstractArt,Windows 10,2.0 GHz,4 GB ОЗУ,512,200 MB
Desktop Audio Visualizer,82.0,82.0,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,21.0,21.0,12.0,9.0,Анимация и моделирование,2018-12-17,JoyfulStudio,Windows 10 / 8.1 / 8 / 7,,512 MB ОЗУ,,128 MB
Don't Starve Together: Wortox Deluxe Chest,269.0,269.0,0.0,1,1.0,1.0,0.0,1.0,1.0,2.0,27.0,29.0,27.0,2.0,Приключенческие игры,2019-03-28,,Windows Vista/Windows 7/Windows 8,1.7+ GHz or better,1 GB ОЗУ,Radeon HD5450 or better; 256 MB or higher,
Who's your Santa !?,120.0,120.0,0.0,0,1.0,0.0,0.0,1.0,1.0,7.0,10.0,255.0,221.0,34.0,Приключенческие игры,2017-12-18,5Wolf,Windows 7,Core 2 Duo,1024 MB ОЗУ,Integrated Graphics,1000 MB
Superdimension Neptune VS Sega Hard Girls | 超次元大戦ネプテューヌVSセガハードガールズ夢の合体スペシャル  | 超次元大戰戰機少女VS SEGA主機娘夢幻合體特別版,171.0,171.0,0.0,0,1.0,0.0,0.0,1.0,1.0,4.0,13.0,672.0,635.0,37.0,Экшены,2017-06-12,COMPILE HEART,Windows 10 Home (64-bit),Intel(R) Core(TM) i5-4460 CPU @ 3.20GHz,8 GB ОЗУ,NVIDIA GeForce GTX 960 or comparable,12 GB
An Octave Higher,15.0,15.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,210.0,227.0,198.0,29.0,Приключенческие игры,2015-03-27,AGM PLAYISM,Windows XP,Intel Pentium 4,1 GB ОЗУ,,300 MB
Far Cry 3,999.0,999.0,0.0,1,1.0,1.0,0.0,1.0,1.0,17.0,211.0,51963.0,46342.0,5621.0,Экшены,,Ubisoft,,,4 ГБ,"с 512 МБ видеопамяти (с 1 ГБ видеопамяти), с поддержкой DirectX 9.0c (DirectX 11) и шейдеров моделей 3.0 (шейдеров моделей 5.0)",
Train Simulator: Frankfurt S-Bahn Rhein Main Route Add-On,725.0,725.0,0.0,0,1.0,0.0,0.0,1.0,1.0,3.0,23.0,23.0,20.0,3.0,Симуляторы,2018-10-25,Dovetail Games - Trains,,,,,
Tomoyo After - Original Soundtrack,129.0,77.0,40.0,0,1.0,0.0,0.0,1.0,0.0,2.0,,8.0,8.0,0.0,Приключенческие игры,2005-11-25,VisualArts,Windows Vista or higher,Pentium III 1GHz or above,128 MB ОЗУ,800 x 600 16bit,1 GB
Keep Talking and Nobody Explodes,349.0,349.0,0.0,0,0.0,1.0,0.0,1.0,1.0,3.0,27.0,5865.0,5750.0,115.0,,2015-10-08,Steel Crate Games,Windows 7 or higher,1.5 Ghz,2 GB ОЗУ,256MB DirectX 9 or higher,1 GB
Galactic Civilizations III - Revenge of the Snathi DLC,99.0,99.0,0.0,1,1.0,0.0,0.0,1.0,1.0,4.0,17.0,29.0,25.0,4.0,Инди,2015-09-10,Stardock Entertainment,"64-разрядная, Windows 10/8.x/7","С частотой 2,3 ГГц (Intel Core i5 или эквивалентный)",6 GB ОЗУ,"С 1 ГБ памяти, совместимая с DirectX 10.1",15 GB
GUILTY GEAR Xrd REV 2 Upgrade,399.0,131.0,67.0,1,1.0,0.0,0.0,1.0,1.0,4.0,140.0,152.0,134.0,18.0,Экшены,2017-05-31,Arc System Works,Windows 7 / 8.1 / 10 (32bit/64bit),Intel Core i5 @ 2.0 GHz,2 GB ОЗУ,Nvidia GeForce GTX 560 / Radeon HD 7770,14 GB
Far Cry® 5 - Season Pass,1499.0,1499.0,0.0,1,1.0,1.0,0.0,1.0,1.0,15.0,579.0,653.0,354.0,299.0,Экшены,2018-03-26,Red Storm,"Windows 7 SP1, Windows 8.1, Windows 10 (64-bit versions only)",Intel Core i7-4770 @ 3.4 GHz or AMD Ryzen 5 1600 @ 3.2 GHz or equivalent,8 GB ОЗУ,NVIDIA GeForce GTX 970 or AMD R9 290X (4GB VRAM with Shader Model 5.0 or better),
Disgaea 5 Complete - Digital Art Book,133.0,99.0,26.0,0,1.0,0.0,0.0,1.0,1.0,2.0,,4.0,4.0,0.0,Ролевые игры,2018-10-22,"NIS America, Inc.",Windows 7/8.1/10 64bit,,,,150 MB
Cattle and Crops,1499.0,1499.0,0.0,0,1.0,0.0,0.0,1.0,1.0,3.0,330.0,520.0,394.0,126.0,Казуальные игры,2017-06-09,Masterbrain Bytes GmbH & Co. KG,Windows 7/8/10,CPU,8 GB ОЗУ,GeForce GTX 970 / AMD Radeon 580 RX (with 4 GB VRAM or above),10 GB
Trackmania United Forever Star Edition,1499.0,1499.0,0.0,1,1.0,0.0,0.0,1.0,1.0,15.0,847.0,1018.0,963.0,55.0,Гонки,2008-04-16,Ubisoft,,Pentium IV 1.6 ГГц / AthlonXP 1600+,,"16 МБ видеокарта с 3D-ускорителем, совместимым с DirectX 9.0c",
Rocksmith® 2014 Edition – Remastered – Greta Van Fleet Song Pack II,499.0,499.0,0.0,0,1.0,0.0,0.0,1.0,1.0,7.0,,,,,Казуальные игры,2019-04-30,,,,,,
★ Fallalypse ★,200.0,50.0,75.0,0,1.0,0.0,0.0,1.0,1.0,25.0,40.0,43.0,16.0,27.0,Экшены,2017-09-15,hede,Windows 7/8/10 (x64),2GHz Quad Core Processor,8 GB ОЗУ,NVIDIA GeForce 950 or higher with 2GB Memory,1 GB
Call of Duty®: Black Ops,1799.0,1799.0,0.0,1,1.0,1.0,0.0,1.0,1.0,6.0,39.0,16055.0,14216.0,1839.0,Экшены,2010-11-08,Activision,Windows® Vista / XP / 7,Intel® Core™2 Duo E6600 или AMD Phenom™ X3 8750 или лучше,2 ГБ,"с поддержкой Shader 3.0, с 256 МБ видеопамяти, NVIDIA® GeForce® 8600GT / ATI Radeon® X1950Pro или лучше",
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Season Pass,499.0,249.0,50.0,1,1.0,0.0,0.0,1.0,1.0,10.0,401.0,482.0,155.0,327.0,Экшены,2016-03-07,BANDAI NAMCO Entertainment,Windows (64bit) 7 or higher up to date,"Intel Core2 Duo, 3.0GHz - AMD Athlon 64 X2 Dual Core 6400+ 3.2GHz",2 GB ОЗУ,1024 MB video card,40 GB
Endless Winter,195.0,48.0,75.0,0,1.0,0.0,0.0,1.0,1.0,4.0,14.0,29.0,29.0,0.0,Приключенческие игры,2017-06-01,DarkSun Studio,"Windows xp,7,8 or 10",Intel Core 2 Duo @ 2.00 GHz or equivalent,4 GB ОЗУ,NVIDIA GeForce GTX750,400 MB
EVE Online: Starter Pack,299.0,299.0,0.0,1,0.0,1.0,1.0,1.0,1.0,4.0,,70.0,51.0,19.0,Экшены,2019-04-10,CCP,,семейства Intel i7 или семейства AMD X4 (с тактовой частотой от 2 ГГц),от 16 ГБ,"NVIDIA Geforce GTX 1060, AMD Radeon RX 580 (или любая другая с объёмом видеопамяти от 1 ГБ)",
The Guild 3,899.0,899.0,0.0,0,1.0,0.0,0.0,1.0,1.0,3.0,55.0,2587.0,1260.0,1327.0,Ролевые игры,2017-09-26,GolemLabs,,,,,
Killing Floor: Incursion,435.0,435.0,0.0,1,1.0,1.0,0.0,1.0,1.0,7.0,263.0,325.0,204.0,121.0,,2017-11-14,Tripwire Interactive,Windows 10,Intel i5-4590 equivalent or greater,8 GB ОЗУ,NVIDIA GTX 970 / AMD Radeon RX 480 equivalent or greater,
Tom Clancy's Rainbow Six® Vegas 2,599.0,599.0,0.0,1,1.0,1.0,0.0,1.0,1.0,6.0,21.0,3040.0,2583.0,457.0,Экшены,2008-04-16,Ubisoft,,3 ГГц Pentium 4 или AMD Athlon 3000 (рекомендуется 3.5 ГГц Pentium 4 или AMD Athlon 3500),,128 МБ поддерживающая DirectX 9.0c и Shader 3.0 видеокарта (рекомендуется 256 МБ) (см. поддерживаемый список*),
Witching Tower VR,435.0,435.0,0.0,0,1.0,0.0,0.0,1.0,1.0,5.0,54.0,61.0,51.0,10.0,,2018-10-25,Daily Magic Productions,Windows™ 7 SP1 +,"Intel™ Core™ i7-6700, equivalent or better",16 GB ОЗУ,NVIDIA GeForce™ GTX 1070 or AMD equivalent or greater.,10 GB
Capcom Beat 'Em Up Bundle / カプコン ベルトアクション コレクション,999.0,599.0,40.0,1,1.0,1.0,0.0,1.0,1.0,9.0,26.0,247.0,213.0,34.0,Экшены,2018-10-10,"CAPCOM Co., Ltd.",Windows® 7 SP1/ 8/ 8.1/ 10 (64-BIT Required),"Intel® Core™ 2 Quad 2.7 GHz, or better",4 GB ОЗУ,"NVIDIA® GeForce® GTX 560, or better",２ GB
NALOGI 2,61.0,15.0,75.0,0,1.0,0.0,0.0,1.0,1.0,3.0,82.0,98.0,71.0,27.0,Приключенческие игры,2018-05-31,Tranquility games,Windows 10,185 Ghz or faster,25 GB ОЗУ,OpenGL 3.0+ Compatible Card,2 GB
Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション,1999.0,1999.0,0.0,0,1.0,0.0,0.0,1.0,1.0,3.0,305.0,398.0,387.0,11.0,Приключенческие игры,2019-04-09,"CAPCOM Co., Ltd.","WINDOWS® 7, 8.1, 10 (64bit)",Intel® Core™ i5-3570,4 GB ОЗУ,NVIDIA® GeForce® GTX 660,1.8 GB
Total War: ROME II - Rise of the Republic Campaign Pack,499.0,499.0,0.0,1,1.0,0.0,0.0,1.0,1.0,9.0,482.0,521.0,315.0,206.0,Стратегии,2018-08-09,SEGA,,,,,
Beauty and the Beast: Hidden Object Fairy Tale. HOG,59.0,38.0,36.0,0,1.0,0.0,0.0,1.0,1.0,18.0,31.0,35.0,28.0,7.0,Приключенческие игры,2018-08-07,Crisp App Studio,"Windows XP SP2+, Vista, Windows 7, Windows 8, Windows 10","1,5 GHz or more",1 GB ОЗУ,128 MB,500 MB
Ni no Kuni™ II: REVENANT KINGDOM - The Lair of the Lost Lord,499.0,299.0,40.0,0,1.0,0.0,0.0,1.0,1.0,7.0,29.0,44.0,18.0,26.0,Приключенческие игры,2018-12-13,BANDAI NAMCO Entertainment,"Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit",Intel Core i7-3770 / AMD FX-8350,8 GB ОЗУ,NVIDIA GeForce GTX 970 / ATI Radeon R9 series（VRAM3GB or higher / VRAM3GB以上）,40 GB
Need for Speed Undercover,299.0,299.0,0.0,1,1.0,0.0,0.0,1.0,1.0,2.0,23.0,3434.0,2351.0,1083.0,Экшены,2008-11-18,Electronic Arts,,"Intel Pentium 4 или аналогичный, 3,0 ГГц или быстрее",,,
Mahjong Pretty Girls Battle,349.0,34.0,90.0,0,1.0,0.0,0.0,1.0,1.0,3.0,264.0,321.0,204.0,117.0,Казуальные игры,2015-01-22,Zoo Corporation,Windows 7 / 8 / 8.1,1GHz,1 GB ОЗУ,DirectX compatible,500 MB
Dark Rose Valkyrie - Deluxe Pack / デラックスセット / 數位附錄套組,259.0,51.0,80.0,0,1.0,0.0,0.0,1.0,1.0,4.0,,,,,Ролевые игры,2018-04-10,Compile Heart,Windows 10 64bit,Intel i5 3.3 GHz or equivalent,8 GB ОЗУ,"NVIDIA GeForce GTX 960, ATI Mobility Radeon R9 290, or higher",
Over 9000 Zombies!,59.0,59.0,0.0,1,1.0,1.0,0.0,1.0,1.0,7.0,854.0,1109.0,948.0,161.0,Экшены,2015-02-25,Loren Lemcke,"Windows XP (SP3), Windows Vista (SP2), Windows 7, Windows 8",2.0 GHz Dual Core Processor,2 GB ОЗУ,GeForce 8800 or equivalent.,200 MB
TheLooppy,59.0,59.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,52.0,53.0,40.0,13.0,Приключенческие игры,2018-01-31,Atriagames,Windows XP and newer,2.0+ GHz,512 MB ОЗУ,Integrated Graphics,3 GB
VEGAS Movie Studio 14 Steam Edition,1750.0,437.0,75.0,0,0.0,0.0,0.0,1.0,1.0,7.0,87.0,89.0,50.0,39.0,Работа со звуком,2017-05-29,MAGIX Software GmbH,"64-bit Microsoft® Windows 7, Windows 8, Windows 8.1, or Windows 10",Multicore or multiprocessor for HD or stereoscopic 3D,,Supported NVIDIA or AMD GPU,500 MB
Unlock all Krypt Items,419.0,419.0,0.0,1,1.0,0.0,0.0,1.0,1.0,8.0,33.0,46.0,25.0,21.0,Экшены,2015-04-22,,,,,,
Regular Human Basketball,133.0,133.0,0.0,1,0.0,0.0,0.0,1.0,1.0,2.0,88.0,103.0,99.0,4.0,Инди,2018-08-01,Powerhoof,Windows XP (sp2) or later,2.8 GHz Dual Core Processor or equivalent,3 GB ОЗУ,"NVIDIA since 2006 (GeForce 8), AMD since 2006 (Radeon HD 2000), Intel since 2012 (HD 4000 / IvyBridge)",2 GB
Suicide Guy: Sleepin' Deeply,102.0,102.0,0.0,0,1.0,0.0,0.0,1.0,1.0,13.0,60.0,90.0,74.0,16.0,Экшены,2018-06-07,Chubby Pixel,Windows 7 or higher,Quad-Core Processor,2 GB ОЗУ,SM 3.0 with 1GB VRAM; NVIDIA GeForce GTX 280 / AMD Radeon HD 4830 or greater,4 GB
FaceRig,349.0,349.0,0.0,0,0.0,0.0,0.0,1.0,1.0,9.0,21.0,4624.0,3841.0,783.0,Анимация и моделирование,2015-07-07,Holotech Studios,Windows 7 или более поздней,Intel® Core™ i5-4570 3.20GHz или эквивалент,4 GB ОЗУ,NVIDIA GeForce GTX560 или эквивалент,4 GB
Xenon Racer,725.0,725.0,0.0,1,1.0,0.0,0.0,1.0,1.0,27.0,42.0,61.0,52.0,9.0,Экшены,2019-03-26,SOEDESCO Publishing,64 bit Windows 10 / 8 / 7,Intel Core i5-4460 3.2 GHz / AMD Ryzen 5 1600X 3.6GHz or higher,8 GB ОЗУ,GeForce GTX 960 / Radeon HD 7950 3GB VRAM or higher,4 GB
Pavlov VR,249.0,249.0,0.0,1,0.0,0.0,0.0,1.0,1.0,2.0,180.0,3323.0,2969.0,354.0,,2017-02-27,davevillz,Windows 10 64 bit,Intel Quad Core 3 Ghz +,8 GB ОЗУ,GTX 980 ti or GTX 1070,4 GB
Warframe: Endurance Drift Pinnacle Pack,725.0,725.0,0.0,1,1.0,1.0,0.0,1.0,1.0,14.0,,2.0,2.0,0.0,Экшены,2019-02-14,,Windows 7 64-Бит (32-разрядная не поддерживается),Intel Core 2 Duo e6400 или AMD Athlon x64 4000+ (~2.2 Гигагерц двухъядерный процессор),4 Гигабайт RAM,,
SENRAN KAGURA Burst Re:Newal - Hebijo Character Set,259.0,181.0,30.0,0,1.0,0.0,0.0,1.0,1.0,7.0,,5.0,5.0,0.0,Экшены,2019-02-19,XSEED Games,Windows 7+,Intel i5 @ 2.8GHz,6 GB ОЗУ,NVIDIA GeForce GTX 750,23 GB
Märchen Forest: Mylne and the Forest Gift,154.0,154.0,0.0,0,1.0,0.0,0.0,1.0,1.0,5.0,23.0,145.0,125.0,20.0,Приключенческие игры,2018-05-16,Primary Orbit,windows7+,core i5+,8 GB ОЗУ,GTX750Ti/GTX 760+,3 GB
Rend,360.0,360.0,0.0,1,0.0,1.0,1.0,1.0,1.0,2.0,1207.0,1299.0,774.0,525.0,Экшены,2019-03-29,Frostkeep Studios,"64-Bit Windows 7 Service Pack 1, Windows 8, or Windows 10",2 GHz Dual-Core 64-bit CPU,4 GB ОЗУ,DirectX11 Compatible GPU with 1 GB Video RAM,25 GB
Herald of the Depths,30.0,27.0,10.0,0,1.0,0.0,0.0,1.0,1.0,2.0,,1.0,1.0,0.0,Экшены,2019-04-30,JacyGames,Windows 7 and above,1.2 ghz,2 GB ОЗУ,,10 MB
Yomawari: Midnight Shadows / 深夜廻,17.0,17.0,0.0,0,1.0,0.0,0.0,1.0,1.0,3.0,174.0,215.0,207.0,8.0,Приключенческие игры,2017-10-24,"NIS America, Inc.",Windows 10/8.1/7,Core i5-2400 3.10 GHz,4 GB ОЗУ,GeForce GTX 260,2 GB
MUSYNX,1176.0,1176.0,0.0,0,1.0,0.0,0.0,1.0,1.0,6.0,21.0,1047.0,870.0,177.0,Инди,2018-12-04,Zodiac Interactive,Windows 7/8/10,Intel Core i3-2100 or AMD equivalent,4 GB ОЗУ,Intel® HD Graphics 3000,5 GB
StrainZ-1: Elimination,129.0,129.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,22.0,26.0,22.0,4.0,Экшены,2017-11-10,Atriagames,Windows XP and newer,1 GHz,512 MB ОЗУ,Integrated Graphics,200 MB
小白的新衣 / Snower's New Clothes,61.0,42.0,31.0,0,1.0,0.0,0.0,1.0,0.0,2.0,29.0,29.0,19.0,10.0,Казуальные игры,2019-04-29,tengenstudio,windows7,Intel Core2 Duo or equivalent AMD,512 MB ОЗУ,nVidia GeForce GTX 280 series or higher,
Getting Over It with Bennett Foddy,195.0,195.0,0.0,0,1.0,0.0,0.0,1.0,1.0,5.0,135.0,13894.0,10981.0,2913.0,Экшены,2017-12-06,Bennett Foddy,Windows 10,2.5 GHz Dual Core CPU,4 GB ОЗУ,Geforce GTX 970/Radeon RX470 or better,2 GB
